test,variant,run,time_s
ex1000-50000-200.in,serial,1,101.32
ex1000-50000-200.in,serial,2,103.45
ex1000-50000-200.in,serial,3,101.62
ex1000-50000-200.in,serial,4,107.52
ex1000-50000-200.in,serial,5,109.30
ex1000-50000-200.in,openmp,1,73.79
ex1000-50000-200.in,openmp,2,76.77
ex1000-50000-200.in,openmp,3,80.27
ex1000-50000-200.in,openmp,4,78.52
ex1000-50000-200.in,openmp,5,78.34
ex1000-50000-200.in,openmp_simd,1,74.09
ex1000-50000-200.in,openmp_simd,2,73.54
ex1000-50000-200.in,openmp_simd,3,74.93
ex1000-50000-200.in,openmp_simd,4,77.03
ex1000-50000-200.in,openmp_simd,5,75.24
ex1000-50d.in,serial,1,0.01
ex1000-50d.in,serial,2,0.01
ex1000-50d.in,serial,3,0.01
ex1000-50d.in,serial,4,0.01
ex1000-50d.in,serial,5,0.01
ex1000-50d.in,openmp,1,0.01
ex1000-50d.in,openmp,2,0.01
ex1000-50d.in,openmp,3,0.01
ex1000-50d.in,openmp,4,0.01
ex1000-50d.in,openmp,5,0.01
ex1000-50d.in,openmp_simd,1,0.01
ex1000-50d.in,openmp_simd,2,0.01
ex1000-50d.in,openmp_simd,3,0.01
ex1000-50d.in,openmp_simd,4,0.01
ex1000-50d.in,openmp_simd,5,0.01
ex10-2d.in,serial,1,0.00
ex10-2d.in,serial,2,0.00
ex10-2d.in,serial,3,0.00
ex10-2d.in,serial,4,0.00
ex10-2d.in,serial,5,0.00
ex10-2d.in,openmp,1,0.00
ex10-2d.in,openmp,2,0.00
ex10-2d.in,openmp,3,0.00
ex10-2d.in,openmp,4,0.00
ex10-2d.in,openmp,5,0.00
ex10-2d.in,openmp_simd,1,0.00
ex10-2d.in,openmp_simd,2,0.00
ex10-2d.in,openmp_simd,3,0.00
ex10-2d.in,openmp_simd,4,0.00
ex10-2d.in,openmp_simd,5,0.00
ex5-1d.in,serial,1,0.00
ex5-1d.in,serial,2,0.00
ex5-1d.in,serial,3,0.00
ex5-1d.in,serial,4,0.00
ex5-1d.in,serial,5,0.00
ex5-1d.in,openmp,1,0.00
ex5-1d.in,openmp,2,0.00
ex5-1d.in,openmp,3,0.00
ex5-1d.in,openmp,4,0.00
ex5-1d.in,openmp,5,0.00
ex5-1d.in,openmp_simd,1,0.00
ex5-1d.in,openmp_simd,2,0.00
ex5-1d.in,openmp_simd,3,0.00
ex5-1d.in,openmp_simd,4,0.00
ex5-1d.in,openmp_simd,5,0.00
sample.in,serial,1,0.00
sample.in,serial,2,0.00
sample.in,serial,3,0.00
sample.in,serial,4,0.00
sample.in,serial,5,0.00
sample.in,openmp,1,0.00
sample.in,openmp,2,0.00
sample.in,openmp,3,0.00
sample.in,openmp,4,0.00
sample.in,openmp,5,0.00
sample.in,openmp_simd,1,0.00
sample.in,openmp_simd,2,0.00
sample.in,openmp_simd,3,0.00
sample.in,openmp_simd,4,0.00
sample.in,openmp_simd,5,0.00
